"Set1_Freq[Hz]";"Set1_Level[dBuV]";"Set2_Freq[Hz]";"Set2_Level[dBuV]";"Raw1_Freq[Hz]";"Raw1_Level[dBuV]";"Raw2_Freq[Hz]";"Raw2_Level[dBuV]";"Set1_Peaks_Nb";"Set1_Peaks_Det";"Set1_Peaks_Freq[kHz]";"Set1_Peaks_Level[dBuV]";"Set1_Peaks_Lim[dBuV]";"Set1_Remeasure_Nb";"Set1_Remeasure_Det";"Set1_Remeasure_Freq[kHz]";"Set1_Remeasure_Level[dBuV]";"Set1_Remeasure_Lim[dBuV]";"Set2_Peaks_Nb";"Set2_Peaks_Det";"Set2_Peaks_Freq[kHz]";"Set2_Peaks_Level[dBuV]";"Set2_Peaks_Lim[dBuV]";"Set2_Remeasure_Nb";"Set2_Remeasure_Det";"Set2_Remeasure_Freq[kHz]";"Set2_Remeasure_Level[dBuV]";"Set2_Remeasure_Lim[dBuV]"
"309800";"31,49";"309800";"22,77";"309800";"22,02";"309800";"13,30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"312933";"28,48";"312933";"21,61";"312933";"19,01";"312933";"12,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"316067";"27,93";"316067";"22,07";"316067";"18,46";"316067";"12,61";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"319200";"27,48";"319200";"20,01";"319200";"18,02";"319200";"10,55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"322333";"27,24";"322333";"20,80";"322333";"17,78";"322333";"11,34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"325467";"26,94";"325467";"20,63";"325467";"17,48";"325467";"11,18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"328600";"26,70";"328600";"20,80";"328600";"17,25";"328600";"11,35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"331733";"26,88";"331733";"21,07";"331733";"17,43";"331733";"11,62";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"334867";"27,26";"334867";"21,05";"334867";"17,80";"334867";"11,60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"338000";"27,33";"338000";"20,76";"338000";"17,88";"338000";"11,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"341133";"27,45";"341133";"21,33";"341133";"18,00";"341133";"11,88";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"344267";"27,61";"344267";"21,26";"344267";"18,16";"344267";"11,81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"347400";"28,03";"347400";"21,66";"347400";"18,58";"347400";"12,22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"350533";"28,05";"350533";"21,97";"350533";"18,60";"350533";"12,52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"353667";"27,80";"353667";"21,36";"353667";"18,35";"353667";"11,91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"356800";"27,25";"356800";"20,47";"356800";"17,80";"356800";"11,02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"359933";"26,43";"359933";"19,66";"359933";"16,98";"359933";"10,22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"363067";"26,04";"363067";"19,63";"363067";"16,60";"363067";"10,19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"366200";"25,84";"366200";"20,24";"366200";"16,40";"366200";"10,80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"369333";"25,81";"369333";"19,93";"369333";"16,37";"369333";"10,49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"372467";"25,98";"372467";"20,76";"372467";"16,54";"372467";"11,32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"375600";"26,31";"375600";"20,27";"375600";"16,88";"375600";"10,83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"378733";"26,48";"378733";"20,32";"378733";"17,04";"378733";"10,88";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"381867";"26,37";"381867";"20,60";"381867";"16,93";"381867";"11,16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"385000";"26,17";"385000";"19,79";"385000";"16,74";"385000";"10,36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"388133";"26,20";"388133";"20,55";"388133";"16,77";"388133";"11,12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"391267";"27,57";"391267";"26,85";"391267";"18,14";"391267";"17,42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"394400";"34,09";"394400";"36,32";"394400";"24,65";"394400";"26,89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"397533";"41,94";"397533";"40,85";"397533";"32,51";"397533";"31,42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"400667";"41,95";"400667";"39,88";"400667";"32,52";"400667";"30,45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"403800";"38,84";"403800";"33,48";"403800";"29,41";"403800";"24,05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"406933";"32,09";"406933";"23,01";"406933";"22,66";"406933";"13,58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"410067";"26,38";"410067";"19,13";"410067";"16,96";"410067";"9,71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"413200";"25,56";"413200";"19,18";"413200";"16,14";"413200";"9,76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"416333";"25,62";"416333";"19,55";"416333";"16,20";"416333";"10,13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"419467";"25,65";"419467";"19,22";"419467";"16,23";"419467";"9,80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"422600";"25,67";"422600";"18,70";"422600";"16,26";"422600";"9,29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"425733";"25,67";"425733";"18,93";"425733";"16,26";"425733";"9,52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
